City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,oyama,JP,36.3,139.8,39.58,45,73,5.28,broken clouds
332,boa vista,BR,2.8197,-60.6733,89.58,40,20,12.66,few clouds
333,tromso,NO,69.6496,18.957,22.37,86,75,0.0,light snow
334,birao,CF,10.2849,22.7882,83.26,17,61,5.21,broken clouds
335,adzope,CI,6.1069,-3.8619,96.17,29,98,3.47,overcast clouds
336,lolodorf,CM,3.2333,10.7333,83.5,62,54,3.91,broken clouds
337,nikolskoye,RU,59.7035,30.7861,34.88,99,100,7.63,light snow
338,vila velha,BR,-20.3297,-40.2925,91.35,57,40,11.99,scattered clouds
339,geraldton,AU,-28.7667,114.6,72.01,88,0,12.66,moderate rain
340,olinda,BR,-8.0089,-34.8553,85.73,62,40,11.5,scattered clouds
341,saldanha,ZA,-33.0117,17.9442,66.22,78,67,20.71,broken clouds
342,dinhata,IN,26.1333,89.4667,65.3,50,24,4.12,few clouds
343,laguna,US,38.421,-121.4238,53.06,96,75,4.61,mist
344,ensley,US,30.5188,-87.2728,57.56,84,90,1.01,overcast clouds
345,itarema,BR,-2.9248,-39.9167,84.96,62,100,13.89,overcast clouds
346,bathsheba,BB,13.2167,-59.5167,84.81,61,40,13.8,scattered clouds
347,birjand,IR,32.8663,59.2211,44.94,56,100,2.33,overcast clouds
348,imeni poliny osipenko,RU,52.4201,136.4853,-30.78,100,90,3.11,overcast clouds
349,sioux lookout,CA,50.1001,-91.917,-14.42,76,90,8.05,overcast clouds
350,la palma,US,33.8464,-118.0467,61.9,88,20,0.0,mist
351,veraval,IN,20.9,70.3667,73.18,79,37,6.67,scattered clouds
352,astana,KZ,51.1801,71.446,4.95,85,0,6.71,clear sky
353,bayji,IQ,34.9311,43.487,51.91,59,0,6.62,clear sky
